NUGET,SBOM_dependencies,CVE
skiasharp.nativeassets.win32@2.88.3,skiasharp.nativeassets.win32@2.88.3,NA
skiasharp@2.88.3,skiasharp@2.88.3,NA
sqlitepclraw.bundle_e_sqlite3@2.1.2,sqlitepclraw.bundle_e_sqlite3@2.1.2,NA
sqlitepclraw.core@2.1.2,sqlitepclraw.core@2.1.2,NA
sqlitepclraw.lib.e_sqlite3@2.1.2,sqlitepclraw.lib.e_sqlite3@2.1.2,NA
sqlitepclraw.provider.e_sqlite3@2.1.2,sqlitepclraw.provider.e_sqlite3@2.1.2,NA
stackexchange.redis@2.2.4,stackexchange.redis@2.2.4,NA
svg.custom@0.5.18,svg.custom@0.5.18,NA
svg.model@0.5.18,svg.model@0.5.18,NA
svg.skia@0.5.18,svg.skia@0.5.18,NA
system.appcontext@4.3.0,system.appcontext@4.3.0,NA
system.buffers@4.3.0,system.buffers@4.3.0,NA
system.buffers@4.5.1,system.buffers@4.5.1,NA
system.collections.concurrent@4.3.0,system.collections.concurrent@4.3.0,NA
system.collections.immutable@5.0.0,system.collections.immutable@5.0.0,NA
system.collections.nongeneric@4.3.0,system.collections.nongeneric@4.3.0,NA
system.collections.specialized@4.3.0,system.collections.specialized@4.3.0,NA
system.collections@4.3.0,system.collections@4.3.0,NA
system.componentmodel.annotations@4.4.1,system.componentmodel.annotations@4.4.1,NA
system.componentmodel.annotations@4.7.0,system.componentmodel.annotations@4.7.0,NA
system.componentmodel.primitives@4.3.0,system.componentmodel.primitives@4.3.0,NA
system.componentmodel.typeconverter@4.3.0,system.componentmodel.typeconverter@4.3.0,NA
system.componentmodel@4.3.0,system.componentmodel@4.3.0,NA
system.configuration.configurationmanager@4.4.0,system.configuration.configurationmanager@4.4.0,NA
system.configuration.configurationmanager@4.7.0,system.configuration.configurationmanager@4.7.0,NA
system.configuration.configurationmanager@5.0.0,system.configuration.configurationmanager@5.0.0,NA
system.configuration.configurationmanager@7.0.0,system.configuration.configurationmanager@7.0.0,NA
system.console@4.3.0,system.console@4.3.0,NA
system.data.common@4.3.0,system.data.common@4.3.0,NA
